score_nid,nid,advanced_profile,core_id,title,path,region,country,city,logo,overall_score,rank_display,rank,stars,dagger,redact,scores
3919722,294850,0,410,Massachusetts Institute of Technology (MIT) ,/universities/massachusetts-institute-technology-mit,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,100,1,1,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '4', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '2', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '16', 'score': '100'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '4', 'score': '100'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '56', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '128', 'score': '88.2'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '58', 'score': '94.3'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '4', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '51', 'score': '95.2'}]"
3919723,294561,1,95,University of Cambridge,/universities/university-cambridge,Europe,United Kingdom,Cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg,99.2,2,2,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '3', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '4', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '14', 'score': '100'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '68', 'score': '92.3'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '64', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '85', 'score': '95.8'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '7', 'score': '99.9'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '6', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=33', 'score': '97.3'}]"
3919724,294654,0,478,University of Oxford,/universities/university-oxford,Europe,United Kingdom,Oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg,98.9,3,3,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '2', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '5', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '8', 'score': '100'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '73', 'score': '90.6'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '110', 'score': '98.2'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '60', 'score': '98.2'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '1', 'score': '100'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '3', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=26', 'score': '97.8'}]"
3919725,294270,0,253,Harvard University,/universities/harvard-university,North America,United States,Cambridge,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg,98.3,4,4,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '1', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '1', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '44', 'score': '98.3'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '1', 'score': '100'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '210', 'score': '84.6'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '223', 'score': '66.8'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '5', 'score': '100'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '1', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '39', 'score': '96.7'}]"
3919726,297282,0,573,Stanford University,/universities/stanford-university,North America,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,98.1,5,5,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '5', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '3', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '11', 'score': '100'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '8', 'score': '99.9'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '78', 'score': '99.9'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '284', 'score': '51.2'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '44', 'score': '95.8'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '2', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '63', 'score': '94.4'}]"
3919727,294030,1,356,Imperial College London,/universities/imperial-college-london,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg,97.8,6,6,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '23', 'score': '98.3'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '12', 'score': '99.4'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '42', 'score': '98.5'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '58', 'score': '94'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '61', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '14', 'score': '100'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '35', 'score': '96.7'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '45', 'score': '83'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=61', 'score': '94.4'}]"
3919728,294432,0,201,ETH Zurich,/universities/eth-zurich,Europe,Switzerland,Zürich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg,93.3,7,7,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '19', 'score': '98.8'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '62', 'score': '83.6'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '177', 'score': '72.1'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '21', 'score': '98.9'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '22', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '56', 'score': '98.5'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '42', 'score': '96'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '52', 'score': '79.1'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=103', 'score': '88.4'}]"
3919729,294798,1,443,National University of Singapore (NUS),/universities/national-university-singapore-nus,Asia,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,92.7,8,8,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '15', 'score': '99.4'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '54', 'score': '88.6'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '157', 'score': '76.5'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '64', 'score': '93.2'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '33', 'score': '100'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '154', 'score': '81.9'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '165', 'score': '76.3'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '7', 'score': '100'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '=106', 'score': '88.1'}]"
3919730,294014,1,365,UCL,/universities/ucl,Europe,United Kingdom,London,https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg,92.4,9,9,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '13', 'score': '99.5'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '22', 'score': '97.9'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '43', 'score': '98.4'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '131', 'score': '74.3'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '96', 'score': '99.1'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '15', 'score': '100'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '2', 'score': '100'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '126', 'score': '51.6'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '74', 'score': '92.5'}]"
3919731,294572,0,84,"University of California, Berkeley (UCB)",/universities/university-california-berkeley-ucb,North America,United States,Berkeley,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg,90.4,10,10,,False,False,"[{'indicator_id': '76', 'indicator_name': 'Academic Reputation', 'rank': '6', 'score': '100'}, {'indicator_id': '77', 'indicator_name': 'Employer Reputation', 'rank': '6', 'score': '100'}, {'indicator_id': '36', 'indicator_name': 'Faculty Student Ratio', 'rank': '656', 'score': '20.5'}, {'indicator_id': '73', 'indicator_name': 'Citations per Faculty', 'rank': '7', 'score': '99.9'}, {'indicator_id': '18', 'indicator_name': 'International Faculty Ratio', 'rank': '172', 'score': '92.2'}, {'indicator_id': '14', 'indicator_name': 'International Students Ratio', 'rank': '235', 'score': '63.9'}, {'indicator_id': '15', 'indicator_name': 'International Research Network', 'rank': '66', 'score': '92.4'}, {'indicator_id': '3819456', 'indicator_name': 'Employment Outcomes', 'rank': '15', 'score': '98.7'}, {'indicator_id': '3897497', 'indicator_name': 'Sustainability', 'rank': '1', 'score': '100'}]"
